"fecha";"lugar";"local";"away";"id";"pts";"MIN_local";"FG_local";"PT3_local";"TL_local";"OREB_local";"DREB_local";"REB_local";"AST_local";"STL_local";"TOV_local";"PF_local";"PM_local";"PTS_local";"MIN_visita";"FG_visita";"PT3_visita";"TL_visita";"OREB_visita";"DREB_visita";"REB_visita";"AST_visita";"STL_visita";"TOV_visita";"PF_visita";"PM_visita";"PTS_visita"
2023-01-11;"CO";"Nuggets";"Suns";401468779;223;0;0;0;0;0;0;0;0;0;0;0;0;0;191;2.77142857142857;1.91666666666667;3.25;8;36;44;14;6;9;15;-15;61
2023-01-11;"CA";"Kings";"Rockets";401468780;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-12;"PC";"76ers";"Thunder";401468781;247;240;5.49531024531024;2.11388888888889;6.08333333333333;14;30;44;24;12;13;17;60;123;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-12;"NY";"Nets";"Celtics";401468782;207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-12;"FL";"Heat";"Bucks";401468783;210;0;0;0;0;0;0;0;0;0;0;0;0;0;180;3.42420634920635;2.12222222222222;4.5;12;25;37;8;7;9;9;-92;78
2023-01-12;"ON";"Raptors";"Hornets";401468784;238;241;4.78055555555556;3.72619047619048;4.91666666666667;18;31;49;32;4;11;17;60;132;240;4.67093301435407;2.75;3.26666666666667;6;28;34;33;6;9;19;-60;120
2023-01-12;"CA";"Lakers";"Mavericks";401468785;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-12;"OR";"Trail Blazers";"Cavaliers";401468786;232;0;0;0;0;0;0;0;0;0;0;0;0;0;240;4.11096681096681;1.63095238095238;5.16666666666667;7;39;46;15;9;14;17;10;90
2023-01-13;"MI";"Pistons";"Pelicans";401468787;226;240;4.74984917043741;2.25;3.35714285714286;10;33;43;25;9;23;20;-60;111;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-13;"IN";"Pacers";"Hawks";401468788;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
